Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CENTRO DE ENSINO EM PERIODO INTEGRAL JOAO XAVIER FERREIRA,52000028,GO,Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 13, 11 VILA NOVA. 76510-000 Crixás - GO.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",Atendimento Educacional Especializado,-14.54308,-49.96762833
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL JURANDIR CARDOSO DIAS,52000079,GO,Crixás,Rural,A escola não está em área de localização diferenciada,Pública,"RUA DO COMERCIO, 70 POVOADO DE AURIVERDE. CENTRO. 76510-000 Crixás - GO.",,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-14.8454432,-50.0021439
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL MANOEL LINO DE CARVALHO,52000087,GO,Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 2010 ESQUINA COM RUA 2015, SN SETOR NOVO HORIZONTE. 76510-000 Crixás - GO.",(62) 981931942,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação Profissional, Educação de Jovens Adultos",Atendimento Educacional Especializado,-14.53328333,-49.962425
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL DA POLICIA MILITAR DE GOIAS PRUDENCIO FERREIRA DE FARIA,52000095,GO,Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA 2008, SN SETOR NOVO HORIZONTE. 76510-000 Crixás - GO.",(62) 962932614,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-14.53182,-49.95868
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL IZABEL MIRANDA,52000206,GO,Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MANOEL LOURENCO, S/N EM FRENTE A CELG. CENTRO. 76510-000 Crixás - GO.",(62) 82316507,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-14.5464713,-49.9710152
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESC MUL JOAQUIM DE SOUZA VILAS BOAS,52000214,GO,Crixás,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA A, S/N --. VILA NOVA. 76510-000 Crixás - GO.",(62) 33651584,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-14.53978541,-49.96981574
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL RURAL SEBASTIAO MACHADO DE AZEVEDO,52000281,GO,Crixás,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA SOBERBO, ZONA RURAL. 76510-000 Crixás - GO.",(62) 33652510,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-14.7120789,-49.8504189
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL RURAL ARLINDO DO CARMO RIBEIRO,52000486,GO,Crixás,Rural,A escola não está em área de localização diferenciada,Pública,"FAZENDA ANJO, ZONA RURAL. ZONA RURAL. 76510-000 Crixás - GO.",(62) 33652510,Municipal,Não Informado,Não,Sim,Até 50 matrículas de escolarização,"Educação Infantil, Ensino Fundamental",,-14.54643694,-49.97105677
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,COLEGIO ESTADUAL COSTA E SILVA,52000648,GO,Mozarlândia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA PIO MOTA, SN CENTRO. 76700-000 Mozarlândia - GO.",(62) 981005593,Estadual,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,"Ensino Fundamental, Ensino Médio",,-14.7497829934582,-50.5696632619947
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA MUNICIPAL CHAGAS GUEDES,52000680,GO,Mozarlândia,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA DIVONEY ASSIS PEIXOTO, SN SANTA MONICA. 76700-000 Mozarlândia - GO.",(62) 33486553,Municipal,Não Informado,Não,Sim,Entre 501 e 1000 matrículas de escolarização,Ensino Fundamental,,-14.7506653983276,-50.5669590924406
