CÓDIGO MEC,NOME_DA_UNIDADE,DEP. ADMINISTRATIVA,CONVÊNIO,LOGRADOURO,BAIRRO,MUNICIPIO,LATITUDE,LONGITUDE,DATA_CRIACAO_UNIDADE,QUANTIDADE_DE_ALUNOS_MATRICULADOS
52028348,ESCOLA MUNICIPAL OVÍDIO JOSÉ ALVES,MUNICIPAL,NÃO POSSUI,RUA TRES PODERES                                                                                    ,CENTRO                                            ,AMERICANO DO BRASIL                               ,162.611.855.000.000.000.000.000,499.850.868.000.000.000.000.000,8/3/2006,451
52087980,CENTRO MUNICIPAL DE EDUCAÇÃO INFANTIL CECÍLIA MEIRELES,MUNICIPAL,NÃO POSSUI,RUA SNF5 QD 1A LT 3/4                                                                               ,,GOIÂNIA                                           ,,,8/3/2006,0
52108007,ESCOLA MUNICIPAL MARIO FERREIRA RIBEIRO,MUNICIPAL,NÃO POSSUI,AVENIDA PLANETARIA                                                                                  ,CENTRO                                            ,AMORINÓPOLIS                                      ,-16.620.766.700.000.000,-51.095.118.900.000.000,22/6/2011,0
52082261,ESC MUL PROF MARIA DO NASCIMENTO PAIVA,MUNICIPAL,NÃO POSSUI,AV 01 QD 4/6 LT 31 E 32                                                                             ,,VALPARAÍSO DE GOIÁS                               ,,,8/3/2006,0
52004805,COLÉGIO ESTADUAL ALFREDO NASSER,ESTADUAL,NÃO POSSUI,AV LEONIDIO DE CASTRO E SILVA                                                                       ,CENTRO                                            ,ARENÓPOLIS                                        ,-16.387.189.277.405.000,-51.556.273.698.806.700,8/3/2006,227
52069060,COLÉGIO ESTADUAL PRÉ VESTIBULAR DE ITABERAÍ,ESTADUAL,NÃO POSSUI,RUA ALFREDO NASSER ESQ COM AV 10                                                                    ,VILA LEONOR                                       ,ITABERAÍ                                          ,-16.019.962.473.453.500,-49.802.087.545.394.800,8/3/2006,552
52100278,CENTRO MUNICIPAL DE EDUCACAO INFANTIL ORIENTE VILLE,MUNICIPAL,NÃO POSSUI,RUA JOAQUIM CANDIDO DA SILVA                                                                        ,,GOIÂNIA                                           ,,,30/8/2023,0
52055949,ESCOLA MUNICIPAL CORONEL FELIX,MUNICIPAL,NÃO POSSUI,AV OTAVIO PIRES MARTINS                                                                             ,CENTRO                                            ,ACREÚNA                                           ,-17.531.199.116.198.000,-50.194.193.256.223.900,8/3/2006,0
52064832,COLÉGIO ESTADUAL DA POLÍCIA MILITAR DE GOIÁS INTEGRAL DOUTOR THARSIS CAMPOS,ESTADUAL,NÃO POSSUI,RUA JOSE MATHIAS DA SILVEIRA                                                                        ,NS DE FATIMA                                      ,CATALÃO                                           ,-18.175.588.804.913.400,-47.941.862.940.788.200,24/12/2005,472
52026361,ESCOLA MUNICIPAL PADRE HUMBERTO DUNKEL,MUNICIPAL,NÃO POSSUI,RUA LIZANDRO GOMES DE SOUZA                                                                         ,CENTRO                                            ,SÃO FRANCISCO DE GOIÁS                            ,-4.926.718.854.000.000.000.000.000,-1.592.755.733.000.000.000.000.000,8/3/2006,521
