CNES,RAZAO_SOCIAL,NOME_FANTASIA,LOGRADOURO,NUMERO,COMPLEMENTO,BAIRRO,CEP,TELEFONE,EMAIL,CODIGO_IBGE,POSSUI_VINCULO_SUS,TIPO_UNIDADE,TIPO_ESTABELECIMENTO,LATITUDE,LONGITUDE
6988318,3A CONSULTORIA E ASSESSORIA SEG E SAUDE NO TRABALHO LTDA,3A CONSULTORIA E ASSESSORIA SEG E SAUDE NO TRABALHO,RUA 84,714,QD F 23 LT 64,SETOR SUL,74080400,62-3281 2077,financeiro@3aconsultoria.com.br,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.683513990824935,-49.25544261932373
500151,3CORE CLINICA LTDA,IPE LABOR,AVENIDA BRUXELAS,280,QD 260 LR AREA SL 01,JARDIM NOVO MUNDO,74703050,62982330707,ipelabor.marketing@gmail.com,520870,NAO,PRIVADO,POLICLINICA,-16.6692373,-49.2082687
4233220,46 824 583 VANESSA FERREIRA,CONSULTORIO FERREIRA,AVENIDA BRASILIA,333,SALA 01,CENTRO,75675000,64992390177,-,520590,NAO,PRIVADO,CONSULTORIO ISOLADO,-18.143568019265906,-48.56150150299072
4208889,46 847 116 MARCOS ANTONIO SILVA,INSTITUTO MARCOS ANTONIO SILVA,PRACA CONEGO TRINDADE,28,-,CENTRO,75280000,62 996266600,GLCONTABIL@HOTMAIL.COM,521530,NAO,PRIVADO,CONSULTORIO ISOLADO,-17.031,-48.296
3836444,47 374 193 BRENDA ALVES DA CRUZ,FONOAUDIOLOGA BRENDA ALVES,RUA PROFESSOR BALTAZAR DOS REIS QD 12,S/N,CASA 17,JARDIM BRASILIA SUL,72823270,-,-,521250,NAO,PRIVADO,CONSULTORIO ISOLADO,-16.247607540510877,-47.89518713951111
7339976,4HEALTH SERVICOS MEDICOS LTDA,4HEALTH SERVICOS MEDICOS LTDA EPP,RUA 14 ESQUINA COM RUA 05,1,QD61 A,CALDAS DO OESTE,75691000,64 3455 2275,hemodialiseemcaldasnovasbrasil@hotmail.com,520450,SIM,PRIVADO CONVENIADO,CLINICA/CENTRO DE ESPECIALIDADE,-17.744,-48.626
9423265,4HEALTH SERVICOS MEDICOS LTDA EPP,4HEALTH SERVICOS MEDICOS,RUA SALVADOR COND ESSENCIALE PREMIER,40,QD5 LT5 9 SL605 606,ALTO DA GLORIA,74815750,629 99029332,wenmelo@yahoo.com.br,520870,NAO,PRIVADO,CLINICA/CENTRO DE ESPECIALIDADE,-16.679,-49.254
9760555,4M ODONTOLOGIA EIRELI,ODONTO JUNIOR,QC 03 MC,10,ANDAR 01 SALA 05 06,SETOR NORTE,73750005,6136375245,-,521760,NAO,PRIVADO,CONSULTORIO ISOLADO,-15.453,-47.614
7661649,6 BATALHAO BOMBEIRO MILITAR 6 BBM,6 BATALHAO BOMBEIRO MILITAR,RUA GOIAS,111,-,CENTRO,75526110,-,-,521150,SIM,PUBLICA ESTADUAL,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,-18.4251003,-49.2173993960195
808997,7 SENTIDOS ESPACO TERAPEUTICO EIRELI,7 SENTIDOS ESPACO TERAPEUTICO EIRELI,AV T2,471,QD 91 LT 1 3 SL2005,SETOR BUENO,74210005,629 92125656,-,520870,NAO,IGNORADO,CONSULTORIO ISOLADO,-16.71874100893404,-49.28689956665039
